@relation comments
@attribute content string
@attribute result {-10,0,10}
@data
'ma9e ligo na akous tous allous dn peta3a kamia ataka pou vrhka apo to google h frash afth einai apo vivlio pou diavasa prosfata sou eipa aplws pws dn lew tis le3eis mia pros mia akrivws opws  einai tou an9rwpou pou to prwtoeipe k su ypedeixa to google gia na to katalaveis kalytera se periptwsh pou ta logia mu dn se voh9hsoun na to kaneis',0
'otan  eixa esena panayiwth mu  3  20 04 10 - 20 10 11 3',0
'kai tora ego 8a  pistepso ti mlk pou anebasate',0
'legete leet agramate',0
'because we are  doing so well without him',0
'opws leei k o allos brake dance  ekane x0a0xa0x0a0x0a0xa0a0  trelamenoi',0
'sorry tote diko mou la8os  apla ta pragmata sti sxoli mas einai perissotero  opws ta satyrizei to videaki para opws ta xei o kosmos sto myalo tou',0
'o drummer  gamaei',0
'xaxaxxaxaxaxaxaxxaxaxaxaxaxa plaka exei alexandrow',0
'mravo paidia',0
'eisai poly piso  karagiozi  ksipna eidi exeis gamisi thn ellada',0
'oxi gamaw tin mama sou sta 4 pws s fanike eides poso malakas eisai pou dn katalaves ayta p lew epeidi eisai  vlakas kai vrizeis eides loipon oti dn mporeis na sygrouseis ta epixeirimata mou ante k gamisou',0
'o mirwnas kapote kai twra )  mia xara kariera kanei  aa kai gia merikous pu ton apokaloun gkei opws enan  malaka parakatw sta sxolia logika 8a exei perasei apo to auti tou  tous pws exei sxesh me tin mary sinatsaki  )',0
'to kammati ta  spaei to epsaxna poli kairo se euxaristo pou to anevases',0
'magka pio eine  to kommati',0
'pio enimerwmenos  psofas xaxa',0
'geia sou leoni file apo  ta agapimena mou',0
'0x0ax0a0xa0a0x',0
'polu oreo  tragoudi ta spaei',0
'paidia oti  kai na kanei autos o anthropos theos paramenei',0
'esi me ti gelas travas mlk ston ka8refti kai  gelas e',0
'o eisvo  gamaei se auto to komati',0
'xaxaxaxaxaxaxaxaxaxaxaxaxaxaxaxaxaxaxaxaaxaxaxaxaxaxaxaxaxaxax klaiw',0
'malaka o michael jackson se  gunaika',0
'einai korifi ta anapoda kapela kai  mazi tus to 24 7',0
'oti kai na pw einai  ligo fantastika logia',0
'gt to eida auto  to video',0
'eo gia sena zo ki anapneo ira fonazo k leo de  tha s afiso pote lalalalalalala lalalalalalala eisai arrostia vathia',0
'nice kai  gamw',0
'o reckless einai ellinas menei athina kai ton lene thano  mipws thelete kai e9',0
'piga k gw  to savvato apisteuth',0
'i fuck your as',0
'eimaste oi spin and win  mia mera tha  ginoume diasimoi kai tote th apopinikopoiisoume to mpafo  thodwris',-10
'hurr dur eimai vlakas epeidh exw diaforetiko gousto apo kapoion  kai meta xaideuete tis kwlotzives sas kai milate gia fasistes zwa',0
'ahah poso maresei otan vgenei o fernando xose apo to ama3i me polu grhgorh  kinhsh anoigei porta k vgazei guali ahah xd ein trela',0
'an ftaseis n zhthseis sugnwmh k na to enohs omws eicai xamenos ta la9h ta kanoume gia n ma9ainoume gt ti eimaste ena la9os )  sygxwroume kapoion epidi tn agapame gt mas exei kerdisei tn kardia  apo t kodina mas proswpa mexri t agorikoritsi mas to  sygnwmh  einai mia le3h ypotimiseis kalutera n peis leipame para sygnwmh einai san na les 3erw ekana malakia pws n epanwr9osw k st telos vrhskesai k n parakalaas',0
'dwse  pono re mhtso',0
'panemorfi kai fonara bravo ths teleia  kai teleio tragoudi',0
'einai kai gamw',0
'einai ena apo ta  agapimena m tragoudia tou danti auta ta tsiftetelorock tou danti  einai sketh porosh na ta akous )',0
'den  ginetai na eisai toso vlakas pragmatika bas k eisai kanas gios  nikolakopoulou mono etsi eksigeitai',0
'to kserw oti mas prosexeis olous s agapame den se ksexname pote eisai to pio fwteino kommataki stin zoi mas eimaste tyxeroi p s dwsame tin agapi mas kai pirame tin diki sou kai to fws s kai tin diki sou enas yperoxos anthrwpos apla den mas leipeis giati eisai panta mazi mas i  prwti skepsi mas stin eftyxia kai stin dystixia mas s efxaristw pou ypirkses rinoula mou tha thela mono na mporousa na s agaliazw pou kai pou sta dika m parapona',0
'o reported den iparxi re exi di to video  me tin proti sinenteyksi kai itan proetoimasmenos gia to ti tha akoloythisi',0
'8eiko  8elw n  vrw partitoures gia drums  h armonio  mporei kaneis n m voh8hsei plz',0
'phantom1rider opws vlepeis exeis faei trelo  kraksimo e den leei na arxisw k egw ta mpinelikia opws katalaves oti kai na peis pali kraksimo 8a fas katse pekse to poulaki sou  (pou auto to kaneis kalitera)  kai ta upoloipa asta gia  emas )',0
'komatara  bravo pedia',0
'einai teleio kataplhktiko teleio',0
'true cult',0
'terastios o pasxalis  eksakolouthei na einai fwnara kai na ta dinei ola  stis emfaniseis tou',0
'enw h dikh soy  logikh na me les toyrko enw exeis proswnymio sto ghpedo soy estw k ws pararsoykli genti koyle einai pio normal',0
'fovero  kai auto',0
'poli tetoio komato  3 kserei kaneis poso xronon einai to paidi',0
'kommatara',0
'gia na  doume tha pane ola kala kai an den pane pali tha tragoudame ola kala tha pane giati xreiazomaste tin elpida',0
'panmegiste strato',0
'poulimenou  txc',0
'julie32g to  video pou to vrikes  p',0
'einai  file mou poly',0
'kai apo aurio sta koinovia twn aplitwn vrwmiarides aplitoi',10
'akousate ti eipe o tsipras shmera 11-6-2012  leei  8eloume oloi oi la8rometanastes na paroun ellhnikh epikotita kai h ellada  einai  mia xwra pou borei na filoksenish  kiallous ta sumperasmata dika sas telika eixe dikio o kasidiarhs osa leei vgenoun xrysh aygh dagoto ton iounio',10
'a re malakes mono na milate  3eretai kala kala psa3te ligo ti paizetai me tous la8rometanastes kai pws mazeutika 2ekatomoiria edw stin ellada kai min petate tin ka8e malakia pou sas katebenei sto kefali 3erokekaloi',10
'h 17n oi pirines tis  fotias  o ela einai oles aristeres organoseis  alloste i aristera panta xrisimopoiouse via eite eixe lao eite oxi mazi tis  epanastasi via i xrusi augi apla einai o xoros pou ekfrazei patriotes-ethnikistes  enantion toi viaiou kommatiou tis aristeras kai kathos i aristera einai manoula sti propaganda thelei na perasei sta matia tou kosmou oti ixa einai terata  oxi apla fernoun kontra sti via tous  kai auto ponaei',10
'pia skyladika akoyo bre blamene sixamene me aplita  malia k mayra rouxa aporofimenh fatsa eisai k esy xazo blaka',10
'bataria  aima twn ex8rwn  pion  aplith kwlotrupida  sapio skulo  freskos skulos  skulow pou diaturitai sto psigia 3 meres meta to anoigma tou  gia hmerominia lu3hs dite sto kapaki  teberes  markadoroi  xrwmatista moluvia gnosta kai ws 3ulobogies  sovas  3ulo  metalo  uxnostoixio  proteines kai alata  viacal 3idi  sketo 3idi  3idi gia ta nevra  nevrones  agia amforeis  vazakia  louloudia kai guro giro melossoules sperma  0_o gamato',10
'simera ton ethnikismo mas ton parousiazoun kirios  sta mme san ena teratourgima ekmetalevomenoi kirios to gegonos oti oloi oi diafotistes k isteroi ethnikistes anapavonte k den iparhoun arketoi na tous dosoun kapies apantiseis i k p iparhoun den prokite na akoustoun pote',10
'ante pidiksou esy kai h megalopoutana eseis xesate sthn  enoia dhmokratia kai sebomaste tous allous lathrolagnoi',10
'esy to evgales auto re karagiozi i to pires apo kamia evraiki propaganta  giati tetia mono i koloevreoi kai kati apliti san kai  sena ta spernane gia na dimiourgoune misos auta pesta se kannena omoideati sou mastouri sovietiko ktinos  kai giti den mou dinis olo to keimeno na do apo pou to pires',10
'kapia zwa miloun gia elliniki metanastefsi  pragmati ipirxe o nounos mou akoma vrisketai ekei alla pote den pire i8ageneia giati inai  perifanos pou inai ellinas kai den exei sxesi i metanastefsi twn ellinws apo tin e8niki ipiresia pliroforiwn tis germanias to 0 9  twn ellinwn pou pigan stin germania getopoii8ikan kai ginan palian8rwpoi se sxesi me ta zwwla8rometanastakia pou exoume edw  ka8iste zwa malakes na sas lene oi alvanoi oti h voreio ipeiro inai diki tous kai eseis min tous xtipate',10
'giati kanelli pios eipe tou pakistanou na paei na doulepsi tzampa i krifa  giati krifa  mipos einai lathrometanastis  auto leei i x  augi as erthi na doulepsi nomima k oxi krifa  eno esi pou efages ta lefta tou kosmaki kai ekanes villes stin ekali den les tpt  5 allodapes kai 20 distixismenes ellinides apo aids  to aids pios to efere  edo o kosmos  autoktonise giati den eixan na fane  na se viasoun k sena na deis ti wraio aids tha exeis  k min mou pite giati grago greeklish giati eksoteriko meno',10
're kai ayta poy moy les einai poli malakies  oso miso tin astiki taksi stin ellada toso kai stin toyrkia  kai to sfyrodrepano poy les tha gamhsei (gia na milhso sti glossa s )  k toys toyrkoethnikistes  k oloys toys diaolemenoys  polemame gia toys laoys gia tin ergatikh taksh  k oxi gia aimatologika kathara ethnoi edo oi gennitsaroi (toyrkopoihmenoi ellhnes)  polemhsan pio sklhra toys omoaimoys ellhnes aderfoys  ara to thema einai politismiko',10
'prwta apo ola den eipa poythena oti eimai gavros alla tetoia poytanothremata poy einai oi vazeloi einai logiko na ste poytanas gioi kala lene oi  gavroi kala kanw kai eimai ethnikistis kai tha gino kai xeiroteros an exw mpastardakia metanastes san kai sena den tha gamaw mono mana kai patera alla kai olo toys to soi poytanothremata tros kai psomi edw vromiarh gia ftisimo eise',10
'pesta re palikare  kai osoi malakes to pezoun egw den ime ratsistis  as parun 4-5 lathrometanastes kai 3enous  sta spitia tous na tus pidane kai istera na milisun',10
'are otan apo  ta 17 mas trexame stis poroies kai ta fonazame ola auta oloi mas legan alites kai aplitous ax re poso dikaionome pia ksipnisate telika  alla polu arga (a)',10
'ok tote sou zitw sugnomi  )  kapote imoun kai egw e8nikisths tourkofagos alla ebala  kai egw mialo eimaste oli paidi ths ghs',10
'dinei psifo kai ithagenia stous lathrometanastes katevazei tin oikona tou xristou  apo ta sxolia vgazei to ethnosimo apo ta xitonia apagoreuei ta armata apo tis parelaseis xipniste re',10
'kala vgale prwta to dhmotiko kai meta pes ston allon na mathei ellhnika kolopakistane lathrometanasth  kai mh milas etsi sto patera sou  sevasmo mpastardaki  apo aurio xartziliki telos mouliko  gi auto pou ekanes den exei euthanasia gia sena  apo karkino tha pas kai oute tafo tha parw na se xwsw mesa tha se petaxw sta skylia na se fane  opws ekana me  th poutana th mana sou de tha prolaveis na  to vgaleis to dhmotiko telika  xaxaxaxaxa',10
'e enai re file kai ego auto eipa  sto proto sxolio oti paok den einai oi alvanoi oi rossoi kai oloi autoi oi ksenoi paok einai elliniki omada kai exei ellines opadous oi ksenoi den anikoun ston paok kai min mou peis tipota gia ethnikismo giati ksereis oti den eimai ethnikistis',10
'to kommati pantos exei ginei  kai diaskeui me e8nikistikous stixous apo tin mpanta chaoss hellas',10
'irineutiki dinami oxi strato katoxis  pois prospathei re karagkiozopoule na tous skotosoi  ma ti leeis to atomo  isa eisai autoi skotonoun emas kai  ta paidia mas  re aroste tha mas peis posa ekatomiria lathrometanastes prepei na ipodexthoume akoma sthn ellada na telionoume  pes ena noumero na kseroume diladi to idio isxi kai gia thnn ensomatosi kai idame ti egine sthn agglia kai sthn germania me thn ensomatosi  triti genia eki kai polemoun thn xwra pou tis filoksenise',10
'eno esi vlaka ti akous entoxno  rock  i metal kane mas tin xari re malaka limokontore  k trava gamisou sigouros eimai oti eisai malias rockas i metalo aplite ksepleni',10
'axaxaxaxaxaxaxaxax pio gamato  giati exoun mazeftei oloi oi aplitoi (',10
'an einai ali8eia tote einai kakogousth ma me ton patsatsoglou  san pakistanos la8rometanasths  einai',10
'o apostolos paulos itan lathrometanastis',10
'h xrush augh erxete trexate  na kruftite mounopana lathrometanastes  are ti kremales exoune na pesoune',10
'apliti poutana lei  to zwon  pwpw sevasmos stis ginekes oi fasistes sou lei meta  ante psofa re misoginiko kseplima mu tin ides kai aektzhs  vrwmiari',10
'an einai na tis peta3oume na pame e3w apo thn voulh  thn hmera pou tha feroun prws pshfish to lathronomosxedio',10
'den sta pane kala file mou  to epixeirhma sou me tous ellhnes metanastes  ( kai oxi la8rometanastes opws eipes )  exei pleon ginei karamela apo atoma tis ideologias sou  prwta ap ola oi ellhnes dn pigainan la8raia  pigainan nomima gt se xwres opws sti germania kai sthn amerikh ama  piasoun la8raious tous esteilan pisw paketo h  tous petane sta sunora',10
'ti pipes lete edo mesa re  viladi opios goustarei thn patrida tou einai fasistas  kala kala oute oi ethnikistes den theoroudai fasistes kai pos ginete kapios na einai fasistas-anarxikos einai to entelos aditheto oi fasistes analoga to xrwma misoun tous eteroxromous kai poles fores den vistazoun na tous skotosoun  pisteoun oti h fuli tous to e8nos tous einai oi isxuroi kai oi kalyteroi eno  -',10
'h xrysh aygh einai ethnikistes kai mono pote den eida na kratane pote germanikh h fasistikh shmaia mono thn shmaia thn ellhnikh to 40  o ioannhs  metaxas polemhse ton xitler sthn ellada kai htan ethnikisths kai ton xeretismo ton eixe kai o metaxas papou enw oi koumounistes pote polemisan gia peite mou pote polemhsan oi komounistes ton xitler otan o xitler mphke sthn rwsia polemhsan oi pseftokoumounistes ths ellados pou zoun sthn ekalh aima timh xrysh aygh',10
'ego yhelo n vgei i xrush aygh na doun ta zoa pou ti psifisan ti psifisan otan tha skotonoun alodapous aristerous komounia otan tha skotonoiun me opion diafonei mazi tous tote tha deite ti orea pou ine i xrush aygh oute ego thelo lathrometanastes sti xora mou dn simfono omos na tous skotono ine poloi metanastes pou skotonoun k klevoun aftous nai filaki k apelasi sti xora tous oxi omo k olous oi perisoteroi dn exoun ena komati psomi na fane  krima',10
'moggolos ine o pateras sou malakismeno  kai sti simeron kinonia mono me ti via epivioneis gt oloi oi vrwmogamomanoi lathrometanastes vgenoun kai viazoun kai skotonoun pedakia kai oxi mono gamw  ti vroma tous kai tin dikia sou bastardako',10
'auto pou den katalavaino einai oti  ma kala autonomi autonomi  e kai emeis oi ethnikistes opos kai o hitler milouse gia autonomia tis germanias  eseis omos den thelete autonomous laous kai ethnoi eseis thelete katakermatismenes kai  dialimenes mazes',0
'ante plisu gelie ke pia xora su re arxidi afto pu les esi xora ena megalo burdelo ine aplite ke den ime alvanos apo krasnodar rosopontia ime  karioli pu mas to pezis ke gramatismenos ante re vromiari tiu tiu apo edo  pidar xrenov',10
'ade re  vlka aplite',10
'sumfwnw me olous osous blepoun tis megales 3enes etairies me miso mati  alla den kanoun to idio me kapoious  kakomoirhdes p den mporoun na zhsoun hsuxa sth xwra tous k anagkazontai na er8oun se mia xwra opws h dikh mas g na prospa8hsoun g kati kalo g ta paidia tous  (k to mono p katafernoun sunh8ws einai na ts ekmetalleuontai kapoioi dinontas ts yixoula) den mporeis n apokaleseis kapoion p den 8elei na summetasxei sto 3epoulhma ths xwras tou  e8nikisth alla allo auto k allo to na sai ratsisths',10
'oxi elliniki istoria os ethnikistis esy diabaze mao kai trotski',10
'ela agoraki mu 8a dume cto karaickaki ti exei na gini 8a mazeuete tic mi3ec cac  apo ta klamata  ai cto diaolo apliti mu ma8ate tr cinxictika palio lagoi',10
'xa xa xa allos enas aplitos eleos  mono sapounia ta  koumounia',10
'ta legane h xpysh augh prin 10 hronia kai vale pou mia mera 8a mas fane kai 8a mas xekoliasoune h alvanoi mousoulmani la8rometanastes xenoi kai tote olh gelagane kai xinan ta arhidia tous symera  vlepoume pou kai o aplos o ellhnas poliths 8eloi na enothi me thn xpysh augh gia na ka8arisi h ellada mas apo ola ta skata pou mas ehoun stiloi h poulimenh evraioriza poulimenh protes politikh  h kardies mas sto hameno aderfo mas apo xpysh augh melvournh',10
'ti na kanoun kai autoi oi malakes apo voulgaroi ginan makedones  kai apo filisuxoi polites tis yougoslavias mounakia ethnikistes kai sovinistes o vasileios o voulgaroktonos zei kai vasileuei kai sas perimenei  me ton strato tou',10
'na pane apo ekei pou irthan  stin koloxores tous  oso gia ta  anarxokomounia auta pou tous vazoun na kanoun tis malakies tous na pane ston diaolo kai akomi parapera  prodotes tou ellnikou ethnoun  auta ta arxidia prepei prota na exafanistoun kai meta oi lathrometanastes tha figoun apo monoi tous theloun den theloun',10
'milas esu gia pakistanous re poutanas gie malaka sas gaman oi bangladezoi  stin mpourdeloupolh sas  perissoteroi apo esas einai oi lathrometanstes re malaka alla ti na katharisete afou pipes tous kanete apo ton fovo gia thessaloniki ti na peis re poutsa  edw einai makedonia kai einai ellhniki kai kathari edw mono paok',10
'file sumfwneis pws ta 2 megala komata me sunergasia tous edw kai posa xronia me thn amerikh kai tourkia 8eloun kai giauto kanoun ta straba matia kai pernane ka8hmerina tosoi la8rometanastes prwton gia na tous 3hfizoun kai deuteron na ginei zougla h ellada kai se 15 xronia 8a exei  dialoi8oi kai glwsa 8rhskha ellhniko aima  p kai poso xronwn ice pec mou thn alh8eia gia na milaw analogws  p',10
'edw  o paisios eipe gia thn polh oti tha thn ksanaparei h ellada me th bohtheia twn roswn kai kati tetoia athnikistika apofthegmata ok kalos anthrwpos askhths diadakse to logo toy theoy oso ligoi alla  kapoy ta eixe xamena kai ekei lew oti o theos ton fwtise san th selenh kata to hmisi giati enw didaske swsta elege kai ayteis tis aerologies poy kanoyn kosmo na mafisbhtei meta kai ta ypoloipa poy gia mena htan poly wsta kai fobera tha elega alla eipame kapoy to exane me ta ethnikistika',10
're pedia o laos den thelei tous lathrometanastes ok  terma  fasismo exoume e re sony kai kala to paranomo na  to kanoume nomimo kai na to epibaloume  more pate kala',10
'eno esu pou onomazeis dimokratia auto to aisxos pou epikratei eisai pio morfomenos to na sou epivaloun dld apanthropous forous me vasiko 400 evro  1 5 ekatomurio anergous  4 ekatomuria lathrometanastes p skotonoun gia na fane  poulane fthinotera proionta sto dromo kleinontas nomimes mikroepeixiriseis k pernoun th douleia p tha  mporousan na kanoun ellines  to oti se dernoun otan diadiloneis gia to xepoulima ths xwras stous tokoglufous daneistes einai dimokratia s thixame tous dimokr thesmous',10
'isothta dio filwn opote sas sumferh k oti sas sumferh auto p ekane o hlias kasidiarhs eprepe na to kanei o ellhnikos laos edw k 25 xronia seira exei k o tsipras gt 8elei sthn ellada olous tous  eglimaties la8rometanastes kai leei pws h makedonia anhkh sta skopia k oxi sthn ellada ksupnate re ksepoulane thn ellada kai koimaste aima timh',10
'xese  mas re vlaka aplite pliatsika',10
'apo panta einai kako na eisai e8nikisths file mou  opws lene kai h a e allo to ena k allo to allo allo e8nisths k allo e8nikhsths',10
'otan ta paidia tis xrushs aughs pigenane ston agio pantelehmona kai boh8ousan tous an8ropous apo tous anarxikous pou katebazan tin ellhniki simaia eseis oloi pou sxloleiazete edw ka8este kai koitate apo tin tv kai  apo to internet tous la8rometanastes kai tous anarxikous na katastrefoun tin xwra probata',10
'se xynw ston sapio_kwla8ro sou  evraioni-sioni i m cumming lotss and lotss in your filthy_rotten ass  fuckin  zionist lil prick now  shut the damn fuck up  jew-goim and blow me come on eat  me  zionist little slime ant hoaohaohaohoahoahoaohaohaohah',10
'sorry 2  akoma xwris ta agglika k mazi me ta ellhnika 4 anti8eta phgaine se alles xwres na dei ti agglika kseroun koroideueis thn ellada gia ta agglika mas exeis  paei arage se alles xwres na deis ti pososto milaei agglika kai poso kala kseroun na milane  amfivalw giati egw exw paei kai kserw polu kala kai den einai mono to oti den kseroun na milane kai autoi pou kseroun milane spasta alla polloi den 8eloun kai na ma8oun ka8ara gia e8nikistikous logous  k milane mono thn glwssa tous',0
'ante re mathe na vlepeis mpala aplite',10
'oi nd-pasok-syriza den sevontai ton ellhna upostirizoun pws prepei na er8oun kialloi la8rometanastes sthn ellada eidh exoun kseperash ton ellhniko plh8usmo oi  la8rometanastes to mono p prosferoun sthn koinonia einai lhsteies arwsties fovo� koinwnikes diataraxes auta ta komata 8eloun na  katantisoun thn ellada afrikh loipon den 8a perash auto psifisa kai sunexizw na psifizw xrush augh gt 8elw thn xwra mou  8elw thn istoria mou  8elw na apolamvanw tis voltes mou opws ekana palia',10
'skase mori voulgarotsiganopoutana pou piges metanastria stin ameriki kai se gamane oi mexicanoi kologay mazepse tin poutana sou tin pethenoune ston poutso oi mexicanoi lathrometamastes opos kai oi tsiganoi pio palia kseskizane tin mana  sou mori poustra baogtzou',10
'an dn s aresei apla de to akous kai to kratas gia party sou aplo de mpaineis sta tragoudia na grafeis tis paparies  sou ektos k an eisai kompleksikos',0
'pes mou poios  gelaei twra kokkino teloneio ahahah ahahhaha egw gelaei egw',0
'i just wanna  party dj darj rules',0
'to 1 dislike to efahe epeidh dn exei hd  auto to gamato clip',0
'petros gaitanos para polu  wraios',0
'auto to tragoudi panta tha me ragizei  kommatara',0
'pw ti eipes (',0
'hey  stratos eisai megalos copyman re file',0
'kl pos ginete auto to kommati na exei dislikes to kommati  ta spaei agria',0
'bravo paidia pragmatika bravo polu wraia mousikh  kai stoixous enoeite',0
'hey zok pws kai dn anevases extes video perimena oli mera  p',0
'apextos  o vassilhs eimai kai egw mesa sto video',0
'sorry file mou 0kostas7 alla ego simfono me ton paoki43 kai ego otan akousa to tragoudaki proti fora  to idio skeftika mallon esi den exeis megali fantasia',0
'4h dhmotikou',0
'apo ta kalitera video pou exo dei  poly psaxmeno mpravw megale 5',0
's  euxaristo polu gia tin  protasi kai to skeftika kai ego alla den vgainei se kali poiotita o ixos kai de mou aresei -p',0
'trela gousta',0
'oti tin varese ke ir9e h astynomia k aftoc eipe oti  apla epece moni tic apo tic ckalec profanos  p',0
'merci  merci ) ) ) )',0
'poly kalo  remix k pali mpravo',0
'eno eixe apaixta tragoudia  den itan pote 1 onoma poios kserei arage',0
'saras kai batiste',0
'welldone',0
'eykola diplasious isos kai parapano tora an autoi ekei pano theloune na vgazoune vromes kai na lene ta dika tous tote  ok de tha tous xalasoume xatiri aytoi diadidoun oti exoun 3 ekatommyria kosmo axaxaxaxa',0
'etsi',0
'ok re vlkaka athinee pane na fas kana kalamaki kai ase tis pipes  sou',0
'i ekpompi legete kitrino-mauro kai oxi mauro  aspro aris_idea_ieroloxites',0
' ) )',0
'filarakh oi  zn de bgalane ta lefta tous epidh miraze cd palia ke dithen rapper ke taxa gamatoi ksereis apo ti htane episis den sigkrinoume zn me going through einai kati diaforetiko',0
'polles gnoseis  exeis file mou  ) poly katotopistikos isoun pantos',0
'the  best  song',0
'ola einai alitheia ektos apo kati pou den leei sto telos oti aytoi pou ton maxerosan oi 3 sthn plateia afethikan  meta apo 3 xronia fylakhs logo nearou ths hlikias tous',0
'moiazei polu  me to i follow rivers i mousiki',0
'h  mia dn xerei na metraei kai me ta daktyla  axxaax ti allo th doume xaaxxa',0
'kai  myalo na eixame p a o k  tha eimastan',0
'',0
'ma9e ligo na akous tous allous dn peta3a kamia ataka pou vrhka apo to google h frash afth einai apo vivlio pou diavasa prosfata sou eipa aplws pws dn lew tis le3eis mia pros mia akrivws opws  einai tou an9rwpou pou to prwtoeipe k su ypedeixa to google gia na to katalaveis kalytera se periptwsh pou ta logia mu dn se voh9hsoun na to kaneis',0
'otan  eixa esena panayiwth mu  3  20 04 10 - 20 10 11 3',0
'kai tora ego 8a  pistepso ti mlk pou anebasate',0
'legete leet agramate',0
'because we are  doing so well without him',0
'opws leei k o allos brake dance  ekane x0a0xa0x0a0x0a0xa0a0  trelamenoi',0
'sorry tote diko mou la8os  apla ta pragmata sti sxoli mas einai perissotero  opws ta satyrizei to videaki para opws ta xei o kosmos sto myalo tou',0
'o drummer  gamaei',0
'xaxaxxaxaxaxaxaxxaxaxaxaxaxa plaka exei alexandrow',0
'mravo paidia',0
'eisai poly piso  karagiozi  ksipna eidi exeis gamisi thn ellada',0
'oxi gamaw tin mama sou sta 4 pws s fanike eides poso malakas eisai pou dn katalaves ayta p lew epeidi eisai  vlakas kai vrizeis eides loipon oti dn mporeis na sygrouseis ta epixeirimata mou ante k gamisou',0
'o mirwnas kapote kai twra )  mia xara kariera kanei  aa kai gia merikous pu ton apokaloun gkei opws enan  malaka parakatw sta sxolia logika 8a exei perasei apo to auti tou  tous pws exei sxesh me tin mary sinatsaki  )',0
'to kammati ta  spaei to epsaxna poli kairo se euxaristo pou to anevases',0
'magka pio eine  to kommati',0
'pio enimerwmenos  psofas xaxa',0
'geia sou leoni file apo  ta agapimena mou',0
'0x0ax0a0xa0a0x',0
'polu oreo  tragoudi ta spaei',0
'paidia oti  kai na kanei autos o anthropos theos paramenei',0
'esi me ti gelas travas mlk ston ka8refti kai  gelas e',0
'o eisvo  gamaei se auto to komati',0
'xaxaxaxaxaxaxaxaxaxaxaxaxaxaxaxaxaxaxaxaaxaxaxaxaxaxaxaxaxaxax klaiw',0
'malaka o michael jackson se  gunaika',0
'einai korifi ta anapoda kapela kai  mazi tus to 24 7',0
'oti kai na pw einai  ligo fantastika logia',0
'gt to eida auto  to video',0
'eo gia sena zo ki anapneo ira fonazo k leo de  tha s afiso pote lalalalalalala lalalalalalala eisai arrostia vathia',0
'nice kai  gamw',0
'o reckless einai ellinas menei athina kai ton lene thano  mipws thelete kai e9',0
'piga k gw  to savvato apisteuth',0
'i fuck your as',0
'hurr dur eimai vlakas epeidh exw diaforetiko gousto apo kapoion  kai meta xaideuete tis kwlotzives sas kai milate gia fasistes zwa',0
