@relation comments
@attribute content string
@attribute result {-10,0,10}
@data
'twra eimai egw periergos pou den katalavainw ti grafeis kai pou kolane auta  pou les  vevaiws k exei shmasia otan prospatheis na plasaristeis ws antisysthmikh dynamh pou yparxoun tosoi mpatsoi pou einai xa  (h anapoda an thes xa pou einai mpatsoi)  auto den einai  mh tekmiriomenes vlakeies  ektos apo thn anoxh pou exoun oi fasistes nazi apo thn astynomia genikotera  (me poly prosfata paradeigmata)  yparxei kai video akomh pou ormane mazi me ta mat h epilektikh orash einai ena allo thema',-10
'ta  paidia  tis dias filaraki den itan 15xrona aopla paidia kanoun  tin epilogi tous k ginontai mpatsoi dn tous ipoxreonei kanenas k dn itan kati tixeo einai ntropi s p milas gia aytous kato apo ena video p anaferete se ena paidi p pethane apo sfaira mpatsou  no justice no peace burn the police (a)',-10
'enas xrusaugiths einai oi alloi einai mpatsoi filoi tous',-10
'skata sto tafo  ka8e nerkou mpatsou',-10
'tr  st 9esi pou ka9omouna mpatse katse 0xax0ax0ax0axa gamatw',-10
'me tetoio onoma den perimena kai kati kalytero palio  lera oi anarxikoi den exoun sxesi me narkwtika psakse sto strato kai stous mpatsous gia dealeria',-10
'gamimenoi skatompatsoi paliomounoskula',-10
'mpatsoi tv neonazi  eiste oloi poutanas gioi kai esu o tin tin eisai ntropi gt i 13 den einai fastiste pou les pigene mia volta pao 8riskeia anarxia re mouni ultras gate  13 1312',-10
'mpatsoi mounia  vreite kamia douleia',-10
'ena einai to sun8hma pou olous mas enwnei mpatsoi gourounia dolofonoi',-10
'ti florofatses einai  autes re xaxaxaxaxaxaxaxa skoulikia mpatsofiloi',-10
'mpatsoi gourounia dolofonoi fwtia sta gourounia  pou to paizoun eksousia',-10
'esas toys mpatsoys  tha gamisoyme protous',-10
'mikre akou na dis  to kke einai to vathi kratos pou se apsogi sinergasia me tin ipolipi simmoria tis voulis exi dwsi kosmo  stous mpatsous sikwni ellinikes simaies kai miai gia patriwtismo exi themata me tous omofilofilous  kai praktores tis eyp stous kolpous tou  katastrefi kinimatikes drasis gia na kapelwsi kai na eksargirosi antidrasis se psifous  to kke einai to pio sapio dekaniki tou kapitalismou kai kseskepastike averta pou prostatefse tin vouli apo tin orgi toy laou',-10
'1) mpatsos 2) asfalitis 3) fasistoskulo 4) kalovolemenos epixirimatias 5) apergospastis 6) dieftharmenos politikos 7) koufos malakes  uparxoun polloi dialegeis kai perneis',-10
'tous pakistanous tous ferane gia na kratane ta merokamata xamila k na kerdizei to kefaleo k oxi gia  na aneboun oi xrysaygites se ligo tha mas peis oti  o papantreou k o samaras eine akrodeksioi den exeis katalabh oti exoun xorisei ton kosmo se deksious k aristerous gia na mhn eimaste enomenoi ego den eime oute me tous mpatsous alla oute me tous koukouloforous k oi dyo eksipiretoun ta symferonta tou kefaleou opos k h papariga k o syriza eine oloi tous mia klika',-10
'kotes me kranh twn mpatswn oi roufianoi arhs thriskeia super 3',-10
'acab',-10
'poutanas gioi minares patrinoi twm mpatson  kollitoi',-10
'skata se olous tous mpatsous acab-panaigialeios',-10
'acab',-10
'acab',-10
'oi koumounistes einai xeiroteroi apo tous  fasistes ego thelo mia ellada fileleutheri oxi koumounistikoi ade sto diaolo oloi',-10
'gamaw esena thn mana sou th xounta ton tourkosporo koumounismo  kai thn mongolooikogeneia sou',-10
'pes ta re lakh fasistes mpatsoi pisw sta xwria sas re mounopana o meligalas exei xoro kai allo kai geia sas',-10
'hli8ie mpatse otan alaksoun oi katastaseis 8a fate kala kai  kati akoma den sas misoun mono oi anarxoaristeroi alla kai emeis oi e8nikososialistes gamw tin mpatsaria sas kai ta akrodeksia giousoufakia sas pou toso sas latreuoun ante geia skatomalaka',-10
'tis mamas soy to moyni to gamoyn neonazi larisa pali trexate anarxidia poy pige to pano monsters antinazi toy to balane sti moyna gemato gayroys kai proin gayroys eisai kaneis ntoy piso apo ta mat (me paok)  kai  klaigesai sto dimarxo kai stoys mpatsoys na min dinoyn adeies gia na to paizeis magas me xena arxidia gamo to spiti soy telos',-10
'apo thn polu propaganda  tou perissou exei katastrafei o egkefalos sou provato  o atuxos oikodomos pethaine apo ta xhmika twn mpatswn  auto eipe kai to nosokomeio ayto eipan oloi alla den volevei h alitheia ayth prepei na piasei dipsifio h aleka',-10
'acab',-10
'acab',-10
'aftoi eiste re kolompatsoi  x-o-y-n-t-a',-10
'aleksi esu efuges  edo den exei allaksei  tpt akoma  a mono o giorgakis egine giorgos spoudaia pragmata  mpatsoi mounia gamo ta afentika',-10
'den leme fasistas sthn epoxh tou pasok oute  koumouni leme  akrodexio kai  akroaristeros kai gia olous mazi leme  akromalakas',-10
'acab greece athens',-10
'acab',-10
'kai krotou lampsis kai tnt min sou pw sas petagane  ainte xainte  o monos logos pou mporei enas kniths na kserei apo krotou lampsis einai an exei plirofories  apo mesa  ksereis apo ta filarakia sou  pou na  fate krotou lampsis kai dakrugono afou eiste ta kala paidia tou koinovouleiou pleon kai h mama aleka sas malwnei ama prokaleite tous astunomikous gt auta ta kanoun mono oi provokatores ainte gia kana festival k kamia afisokolisi sta polu extreme kai afiste tis poreies  alliws ante gia mpatsoi',-10
'original acab  brothers om_livorno',-10
'aek  acab',-10
'den to 3era oti i ekfrasi  stin ygeia mas kai oi mpatsoi makrya mas  vgike apo  edo xd',-10
'mpatse pare fora  apo ta kalyvia kai ela klase mas tarxidia mas',-10
'palio poutanes mpatsoi a.c.a.b all cops bastards h volara mazi sas re a.c.a.b a.c.a.b.',-10
'ekso oi fasistes kai oi mpatsokauloi aptin 7 all cops are bastards  gamietai o pao kai i  astinomia',-10
'mpatsoi  paliopoustres',-10
'den to voulwnetai oloi lew egw skatomalakes kollimenoi akoma me koumounia k fasistes  axoliste k tsimpate to  tyraki sti faka edw i xwra kaigetai re malakes k eseis mono na sxoliazete kserete me tin neoelliniki nootropia tou typou paristano ton swsto ton akaireo me statheres apopseis alla oloi to idio koino stin praksi tipota  ksypnate malakes giati einai idi arga',-10
'mpatsoi-tv-neo nazi ola ta katharmata doulevoune  mazi',-10
'zw sta exarcheia einai egklhma mpatsoi-gourounia-dolofonoi',-10
'basika kanenas pasoktzis den allakse kai psifise kke kai an psifiseis kke tha eisai zoo giati tha stirizeis ena apotiximeno kai nekro kinima kai den einai prosopiki apopsi to  exoume dei kai stin praksi se kamia periptosi den sou leo na psifisei pasok nd  kai fisika x a kanenas den aksizei kai tin kiria pou akous menei stin ekali orea koumounistria',-10
'1312  acab',-10
'mpatsoi arxidia  pisw sta xwria sas na fylate gidia',-10
'oloi me molotof sta xeria na kapsoume tous mpatsous kai meta  thn bouli h mpatsoi einai adelfia mas  kai emeis adelfoktonoi mpatsoi gourounia dolofonoi',-10
'ade koufales mpatsonia erxonte epanastatikes organwseis oi mpatsoi  einai kalos tropos proponhshs skopovolhs xaaxxa 8a kaloperasoun',-10
'acab',-10
'na sou pw dn thelw  na tsakwthoumai sizitame egw ta blepw teleios antikimenika  (to parapanw pou egrapsa dn t pisteba apla prwsopika an kapoios pistebi stn koumounismo gia emena einai xazos eidika stn ellada gt xerw megalous stelexous t kke pou exoun para polla leyta kai polles plhrofories alles o koumounismos istorika pote kai pouthena dn ekane kalo opote htan sthn exousia dhmokratia ayth tn stigmh dn exoume oyte gia asteio h xounta toulaxiston ontws gamise kapoious anthrwpous kai eimai kata',-10
'polu wraio to videaki  alla ws anarxikos thelw na tonisw oti  to  anarxia-anasfaleia  einai anakrives  ektos kai an eisai politikos h mpatsos  opws kai na exei h skepsh sou einai katharh  kai  epikrotw ta munhmata pou thes na peraseis na sai kala',-10
'tous xrysaygites giati tous ebales mesa re skatompatse akrodexio skoupidi ase tis malakies pou den eisai mpatsos oute tis x a ton poulo oloi apo dw mas bromizete ton  dromo',-10
're skatoiflwroi pianete kopeles pou den ine kan maximes kai tis apilite  afto to thewris katorthoma  dld an piasw egw tin kori tou mixaloliakou apo to pakistan kai tin mpouketoso tha kataferw tipota  emis kai dekaplasioi imaste kai pio maximoi  apla sas rixnoume kamia mpatsa pou kai pou mpas kai ginete anthropoi kai agwnistite gia tin eleftheria kai  tin isotita  alla pou tetio pragma stous sinadelfous twn ethnikistwn mpatswn',-10
'acab  )',-10
'mpatsoi gourounia dolofonoi  den bgike tyxaia to  sunthima malaka kanaki',-10
'arianos eimai etsi einai to original h aek kai to moufa oi aderfes me ta kranoi ta paokia gamane mono otan tha einai 100 atoma me 20 sta isia den kseroune mexri kai apo gkomenes ta kaskol pernoun kai meta ta kaine stin toumpa kai  lene prologo piasame arianous milame san kai autous den yparxoun pouthena tous phrame to pani to megalo ths mhxanionas kai ekanan mns kotes me kranh ton mpatson oi roufianoi',-10
'ena einai to synthima  pou oloys mas enonei mpatsoi goyroynia dolofonoi den lew oti ta paidi asto lewforeio einai agia plasmata alla ta gourounia einai gia paloukoma  apo portogalia lisbon 201',-10
'skata sth psuxh sou kariolh mpatse ta xeirotera sou euxomai esena k ths oikogeneias sou pou anetrepsan  ena tetoio mouni',-10
'skata stous  mpatsous k stous nekrous tous',-10
'mpatsos kalos mono  nekros',-10
'enas anarxikos tin imera ton mpatso ton kanei  pera',-10
'nai re anarxia  (y)  gamw t kratos mu  mpatsoi mounia  ka8este kai skotonete etc a8wa  paidia gamw t spitia sas  mat roufianoi  @',-10
'oust  vromompatsonia',-10
'mpatsos kalos mono nekros',-10
'  skase re kolompatse',-10
'mpatsoi dolofwnoi paidiwn alexi zeis',-10
'emene',0
'4 55 popo to atomo ti  kanei  o',0
'@dimitrulii e na min ton vazane na to pei efoson graftike gia tous allous duo vlakeia kanane kai oxi o juan exei wraia fwni giati  kai sto theatro itan wraia  kai teriazan ki olas oi fwnes fede-flor',0
'na kanw mia erotisi egw autos pou paizei kithara  dipla tou einai o ioannidis',0
'o sakis einai  thes na peis',0
'pou pigan aftes oi ekpompes  gamw ti politiki mou  me ti kenouria seson',0
'mouzourakh 3 mporw na ton akouw gia wres dn 3erw gt alla i fwni tou me  ta3ideuei  menipos )  )',0
'teleio tragoudi',0
'hahaha aou o michael jackson leei  gia auto exei plaka',0
'poso  kosmo ekfrazei kai mena mesaa )',0
'byres pantou  onoiro trelo  kai alkooliko pantou onoiro trelo  pinw gia na zw',0
' )',0
'k egw gia ton  3hlia 3 ama t pame etc',0
'ama matwne kalitera tha itan kai meta tin pidagane k 10 mauroi',0
'moufa',0
'ton eida prosfata se synavlia sto dilofo ioanninwn ki epatha plaka einai foveros',0
'gia s re  karaa  )',0
'nai nai eistai polu  gamatoi',0
'ola auta einai oi dikaiologies sou kai to epipedo sou fenetai dimosia kai  esu enoxleis emena oxi ego esena',0
'ggamaei o sfakianakis',0
'kai nai exw liwsei to replay k  xorevw moni m d',0
'ti einai ooi olumpiakoi  poustides kai  travesti',0
'ante  mlk teodosic poutsa k ap to gayro mlk k ante spiti sou',0
'edw  se 8elw kardia mou hr8e h wra n faneis dunath mn m prodoneis esu opws k auth edw s 8elw kardia mou',0
'5 30 o smigkol tragoudaei',0
'exoun dikio polu  anamenomeno',0
'wraio videaki bro )',0
'e pess mouu etsi',0
'poli  kalos',0
'gia mena ta tria prwta autokinita einai oti kalutero tha mporouse na kikloforei stin ellada',0
'@k3vinmirallas re exoune plaka den einai diko tous to la8os p  oi alloi petane malakies',0
'ouaou wraio exete k alla tetoia  videakia',0
'@belluschi1  green_fun_13@yhoo gr',0
'stin paiania vgalate ftera',0
'teleio',0
'therizeis pali',0
'kala monos pernaw  tis protoxronies edw kai 9 xronia lol alla kai pali den xanw to dasos gt exw papsei pleon na asxoloume  (kwstas)',0
'22 eimai xaxaxa kai egw auto to egrapsa gia tis anamniseis mou sta 15 tote to kapnisma eixe nohma ( h adrenalinh kai mono na mhn se doun to travage xaxa)  twra einai apla mia glukia kakia sunithia oso pernaei o kairos kai allazoun ta atoma pou mas peritrigurizoun-mazi me emas-  katalavaineis oti to mono pou se enwnei me ta kalutera xronia ths zwhs sou einai autes oi kakies sunithies na sai kala kai na pernas kala',0
'mporeis  na anevaseis  kai to sila me ellhnikous upotitlous',0
'nai  )',0
're paidia den iparxei  eleos ta spaei',0
'etsetera etsetera hahahahaha',0
'den exei bgalei eixe figi apo orthologistes gia na bgali  solo duleia twra eine strato  otan apolithei kati tha bgalei logika ektos an ithele na to afisi',0
'viazome klise o ponos eisai  kai den boro na s miliso oute lepto  3',0
'thanks man  i hope the new generation  come out quickly',0
'kai nai imoun kai egw mesa sto mats pou kratousame to  pani',0
'just  perfect',0
'ti xazi i kiria meri  lol',0
'em  de exei kai adiko i natasa etsi opos mou ferese logiko tha ine afieromeno',0
'dikio exeis oi  raindow kourasan kai fanike kai sthn arena  eixame faei sti mapa toso hlio tosh zwsth mexri na ftasoume na boume k n arxisei kai den travouse parapanw  alla molis bhkan oi scorpions fugan ola  ola omws  pono eniwsa pali stin eksodo',0
'autoi oi 14 pou patisan dislikes logika oi koufoi einai  oi koloi h kai ta duo',0
'afth einai h mageia tou youtube file ksekinas apo ena video  kai katalhgeis se entelws asxeta me to arxiko videos',0
'to kommati apla ta cpaei kai sugxarhthria kai ston dhmiourgo tou video g tn polu kali douleia po0 ekane me autes tis mageytikes eikones kai to tragoudi po0  se ta3ideuoun',0
'kapoios hpie ligo parapanw ex8es )',0
'pame nai nai nai nai',0
'antio antio ekei stin  a2 kotes poutanes',0
'sti lewforo sas deiksame poia einai h 7 )',0
'ta tourkika-arabika-albanika-boulgarika stoixeia sthn ellada ta protoefere  o gonidis sthn ellada pro eikosaetias erwthsh  pia thewreis ellhnikh laikh mousikh giati exeis pei kotsana apo panw apanthse pls',0
'tromero den bariemai  na to akouw',0
'o  rap einai so so sexy  mes sto bathroom ahahahahahahaha na sai kala re kwsti',0
'poso wraia xeili exeis poso  wraia mirodia filame gia oli tn vradia',0
'autos den einai amintikos epithetikos einai',0
'teleio',0
'mouxeis perasei  rita',0
'beautiful',0
'ela re a a crew edw raper sob kai molis gamise t  neo track',0
'kala re skoulikoerpeta pos tin eidate ke nomizete oti to tragoudi to egrapse gia sas o miliokas ke vromizete to video me ta sxolia sas deite kanena video tis  omadoulas sas kai afiste isixo ton milioka me tis malakies sas',0
'bravo poy katevases ayta ta kommatia einai kommatia poy  den xehnoynte to akoys kai xana kai xana ta akoys trelo kefi -)',0
're file pws ginetai na eimaste thiasos opws les se mia stigmi kai na pername kata 70 pontous sthn vathmologia ths uef mia eurwpaikh omada kai oso gia thn ellada na sou thimisw oti osa prwtathlimata exoun oles oi ellinikes omades mazi ta  exei monos tou o olympiakos  kai anamesa se olympiako kai panathinaiko uparxoun statistika 42-34 se nikes uper tou olympiakou kai 125-109 sta goal pali prohgite o olympiakos',0
'kokokokokokokokokokokokokokok vazelia',0
'akouw oles autes ths malakies dld rns kai bdc kai 3enerwnw  akouw pali ta idia kommatia ffc klassika kai 3ana  pwronome )',0
'magkes ton ka8ena to tragoudi ton ekfrazei opws 8elei  allon gia kopela  allon gia oneira  allon gia narkwtika  o ka8enas exei ta dika tou',0
'mas pligwse  to ksereis ftanei pia',0
'thank you so much uli all the best  for you this season',0
'the  best',0
'modistres kala tin kanate pali tin douleia reve ksilone reva ksilone to video gia  na krupsoun tin itta pou fagan apo 20 atoma poustoskoulika',0
'den  dexomai fili apo allon ektos apo sena pleon par to xampari',0
'kala pernane dn les tpt  glupse kana kauli mwri tsimpoukla  k ase tis mpananes',0
'o bravo einai pl mnprosta mages  xaxa gamai manes  d',0
'auti fwnh  tis re paidii mou porosh re gamwto kommatara kanane  bravo stous stavento stous flybywire kai sthn paola gia tn teleia sunergasia  d',0
'the 7 guys missclick  the dislike botton beacause of continuous headbanging xd',0
'polu kalo apla dn katalava  gt to patise stis 50 afou ola ta turbo ropiazoun apo xamila alwste dn eidame kai pola stis 7 koftare  tespa dynato',0
'xd lol',0
'i feel the need to thank u for your such sweet words )  i had lost my confidence in my voice  but maybe i should try singing again',0
'egw auto to glx sto video 8a to protimousa me kokalines zantes  (honda excel)  kai me michelin sport pilot xamilo profil lastixa kai mia motosport ekstmhsh  me megalh mpouka p',0
'ade 3 4 fores  na tis tn akoubiseis',0
'rigos',0
'o termatofilakas kai kl en borouse  na piasei  oute ena p alla opws kai na to kaneis foverh seira  d',0
'auta einai  tragoudia ti wraio pou einai )',0
'einai to boom paragwgh tou dj  premier',0
'an tis breis filaraki m stelneis ena minima kai  na kanonisoume na m tis doseis kai mena )',0
'terzis foreverr egrapses rr arxontaa  palli',0
'minara',0
'etsi',0
'i moni statheri aksia stin zwi mas sumfwna apoluta tha perasoun polloi alla panta autos tha einai o enas k monadikos  k pote  den tha se prodwsei oso gia to tragoudii apla ta spaei',0
'ante mathe  podilato re kai meta drift',0
'96 21  you ll never walk alone',0
'xaxax  plaka exete',0
'stella se zilevo',0
'opoios ekane  kai ta oscar gia tis tainies',0
'aurio  sthn arta xaxa teleia',0
'i may do this but i ll do it from pride something  you can t even dream what its like and before i die i ll take with me many maggots like you drop dead wallet thief',0
'syngkinh8hka mprabo ayto to video  einai syllektiko komati ki afoy mphke edw mesa den xanetai me tipota  mprabo mprabo mprabo nasai kala',0
'teleio  song k picts',0
'link gia server valte se perigrafh an einai ola ta  link giati berdevomai kai sta sites euxaristw  )',0
'mazi me tous  txc afhsan epoxh',0
're file  einai k0rifi t0 at0m0 ta leei  e3w ap ta d0ntia xd dagkwnei me ta l0gia o tup0c',0
'h tenia ta spaei  h ipo8esh ta panta  5  apo mena  d',0
'poli kalo',0
'oti  eixe legewnario patera apo th thrakh',0
'dikio  exis',0
'- great',0
'gamato',0
'methexis',0
'pote htan  ayto',0
'eytyxos pou ayti i ektelesi tou tragoudiou den tha paixtei pote  stin italia kai tha akousoun mono tn afthentiki ektelesi tou tragoudiou pou parepiptontos einai polla epipeda pano',0
'ti  einai auto re xaxaxaaxaxaxxaaxaxxaaxaxxaxa',0
'sostos',0
' 1 pada anatrixiazo opote akoyo ayto to  sigekrimeno tragoydi',0
'episis ta likes sto comment mou kai ta  dislikes sto video lene diaforetiki gnwmi kala den xreiazetai na diafwnoume gia kati toso asimanto  )  esu exeis tin gnwmi sou egw tin dikia mou emena i  gnwmi mou einai pws exoume ena asxima montarismeno uliko  me ixo  pou spaei tubana kai vrisies oli tin wra an auto sou aresei den mou peftei logos',0
'tarando me ekanes me koroideuoun oloi ap to mono krevati sou exoun perasei oloi o mpamphs  o ale3andros h ntoly kai h anna twra katalava  pws eisai akatallhlh gia mana xaxaxaxaxa egrapse istoria',0
'fovero  kommati',0
'3 47 ekei pou tis leei oti h mellisa me to kentri einai  sto taksi i giagia kitaei',0
'a  re tsakalakoo morfh  d',0
'fisheye',0
'jami file mipos exeis kai to  se paramuthi  se video  anevasmeno',0
'd e s p i n a',0
'ayto einai sosto kyppelo  kai protaflima ston olympiako pame re xatsikiriakio kai ta miala sta kgakela',0
'nai',0
'5 45 fatal error',0
'aftos me ta mallia einai  o skatomygas xaxaxaxa',0
'einai oti xeirotero na metanoiwneis gia prakseis pou exeis kanei k exoun pligwsei ton anthrwpo sou na  tin prosexeis file',0
'dwse gamw tin  trela mou 3  3  3',0
'yeah  but it s not mine i just upload it )',0
'koita3te paidia o ka9enas exei ts protimiseis tu se allon aresei o  xatzhgiannhs kai se allon oxi ti na kanume tra na sfaxtoume afhste ta paidiarismata kai apolauste to tragoudi kai se opoious den aresei aplws na mn to akoune einai polu aplo',0
'na s agapoun alithina pote den antekses mhn stenaxwrieste paidia ola ginontai gia kapoio logo opoios  mas aksizei pragmatika de feugei alla menei panta dipla mas akoma ki as einai makria na to thumaste',0
'kati  ksereis esy',0
'thanx for  the love 3',0
'afieromeno  stin eleni me poli agapi apo tn spirako  (diko sou elenaki) 3  3  3',0
'eleeinoi  re gia gelia',0
'eimai fili )',0
'arxontas',0
'pame gia monaki oi  2 mc na fas poutsa',0
'sygxaritiria molis ikanopoiises to sapio ego sou  mas tin eipes gia pes mas pos niotheis pos einai na tin  les  apo to youtube  se allous prepei na itan synarpastiko mipos kauxithikes kiolas stin parea sou gia auto e ti tetoia magia kai na mi tin les  pantos mpravo agori mou  pragmatika eisai  foveros malaka',0
'axxaaxxaax  lol',0
'thanks for your comment my friend',0
'se  eyxaristoume gia to upload',0
'otan ponas kai ta vradia einai megala kai monaxika mono o arxontas mporei  na soy kanei parea',0
'geia  sou pagioumtzi paraponiari ntervisomagka',0
'fobera auta einai ta video  autos einai o skouras bravo  paidia elpizw na simetasxo k egw se kati tetoio  )',0
'h kaluterh despina vandi ekeinh thn periodoo apla koukla',0
'oti  travaei kaneis kalo einai  )  ahhahaha',0
'ela mwri  paola trela',0
'an kai to ali8ino  tou epi8eto einai kakofeos',0
'bravo  mampi poli kalo to tragoudi leonidas',0
'mpravo megale - d',0
'bravo re kopela moy to yliko poy vazeis einai fantastiko synexise ti poly  kali doyleia poy kaneis',0
'3o  kai den simazeyomaste re',0
'ama kaneis clear  install nai ala ama  baleis apla egatastash kai dual boot den 8a exeis problima  p',0
'emena mou arese mia xara  einai',0
'zontanoi  nekroi respect',0
'respect (',0
're tin  paleyeis emena den mou aresoun kai oute mou aresan esi ti prob exeis ama eisai 37 xronon kai akoma psaxneis na akouseis aytes tis blakies e tote tzampa sou milao',0
'poli  misogineis pantos )  alla einai gamatos',0
'ti stin putsa einai auto p diana milas gia to star to opoio kanali den uparxei  0  ( mhden)',0
'se katalabaino apolita',0
'eimai 33 xr an k exo na do ti diafimisi konta sta 25 xronia akoma thimamai olo to tragoudi ap ekso',0
'dear haters after u dislike the video  why you not subscribe to dislike all my new videos',0
'atofio talento',0
'oe oe  oe oe oe oe mazi sou k sta duskola panathinaike',0
'stella  s agapaw kai as mhn se eixa ousiastika pote',0
're paides mporoume na vroume to remix pou paizane sto irish autou tou tragoudiou the riddle - prezioso',0
'auto dn einai indie rock gia kanena logo pragmatika de einai ka8olou dn  eimai ap autous pou kollane sthn upokathgoria ths upokathgorias  ta paidia einai grunge  noise  perissotero noise',0
'gamise panathema ta kerata tou satana',0
'prepei na einai neos autos sto pro  dn 3erei na paizei  ka9olou',0
'ths  psyxhs sou to keno  to niwsa kai den to 3exnw',0
'  mono oi ekfulismenoi misoun to swsto einai oti oi monoi pou den misusan itan o charlot k o xristos  oloi oi alloi misoun kai einai apoluta fusaiologiko sunaisthima  opoios dn kserei na misei den kserei oute kai na agapa  ara einai ena  orthio ptwma  sn tn xristo to theo i to mouni pou tous petage ena prama vote up osoi pragmatika miseite kapoion-ous',0
'ypotithete pas sto live na akouseis ton tragoudisti i to group na peraseis omorfa to na deinei ena refren se kathe  tragoudi einai themito  edw edwse panw apo to 50  tou tragoudiou  an thes na ekfrasteis elefthera pigaineis se karaoke i vriskeis kapoion filo sou pou xerei kithara kai pigaineis se ena omorfo meros kai pernate poly wraia kai oute gata oute zimia oi katsimixaioi sto live tous persi me ton sigxwremeno ton mano ton xidou edwsan se olokliro to live 2 refren ston kosmo',0
'ektos apo ayto  pio allo exoun kanei',0
'giagioula 7  to kommati ayto poy den ksereis einai o ksepesmos apto cd1 wasted in hiphoppoly',0
'19-04-201',0
'poli  kalo',0
'kapoios pou einai apo  tous allous',0
'etsi goustarw kai pigenw sta  grafeia teletwn kai lew  dn 8a pe8anoume pote koufala nekro8afth geia sou re vasilara',0
'ta spaei o  typos',0
'se 8elw edw fwteinh moy mou leipeis  kai sagapaw oso tipote allo',0
'up',0
'',0
'poli  oreo tragoudi alla  i anna mas de borouse na vgali alli photo  (vlepe 0 22 )  idia me tin photo tis vandi prin apo 2 xroniakia  idia omos  poz a ifos  make up tora tha ksesikothoun oi fan k tha arxisoun ta xaza  anna mas s agapame @',0
'xyse ira',0
'wraios  alla 8elei ligo kalhteres foto  p',0
'poia einai h mousikh p pezei sto  backround  kserei kaneis',0
'ena gramma n mou peis pws noiazesai  na mou peis  oti sou leipw k oti me xreiazesai auto to gramma perimenw mono  pf oloi perimenoume ena munhma oloi omws 3eroume pws den 8a er8ei pote 3',0
'',0
'eiste  apisteutoi paidia bravo sas',0
'sinexiste na bgazete gamata tragoudia emeis eimaste  dipla sas',0
'xtypise kai gomenaki o  kontos',0
'alh8eia p 8a sou phgainei polu  eimai sigourh )  kai jiana mhpws mporeis na kaneis ena video me fall looks  8a htan uperoxo n t evlepa k apo mia ellhnida k apo esena fusika d h ena video me fall essentals  8a htan apla uperoxo d',0
'8eiko tragoudi apla monadiko teleioi stoixoi 3',0
'file san 100km h  fenete oxi san 80 kai to evala k sto 480p alla m fenike gia 10',0
'kaneis lathos me tous doryforous den vlepeis sxedon tipota xrisimo mono me doryforous pou anixneyoun thermotita mporeis na entopisseis mono pyrininokinita ypovrixeia oi rossoi omos ta parkaroun kato apo 9 metra pagou stin antrktiki kai den ta entopizei kaneis opos episis den entopizonte kai ta dika mas ilekrokinita ypovrixeia otan einai krymena giati den afinoun kanena ixnos  sto vytho  mono to sonar tha ta entopise an afinan akoustiko sima',0
'ti  me ctil plaka mo0 kanic an exi polo0c ari8mo0c ftiaxnic trapezomantilo k oxi polaplaciacmo',0
'aporw poios apo tous dyo mas twra pio polu  ponaei twra pou eimaste xwria',0
'yperoxo',0
'@aquadreamcatcher  ela re siga pou eimaste megaloi tin kaliteri ilikia exoume 90arides ftw i kaluteri xronia kai oi kaliteres fournies',0
'gamo tn nansu tha tn xeso 14 37',0
'den exo logia na po',0
